"GB? 1=Yes, 0=No",Is it?,Slug,Title,Downloads,Last update,Required,Tested,Active,Keywords
0,block,tolero-spam-filter,Tolero spam filter,990,21/03/2007 14:03,1.5.1.2,2.1.2,20,"antispam,spam,spam filter,spamblocker"
0,block,jc-iprestrictions,JC-IPRestrictions,3546,16/06/2007 04:41,2.0.4,2.2,30,"block,ip,access,restrict,password"
0,block,wp-blockyou,WP-BlockYou,4186,29/04/2008 15:08,2.0.0,2.5.1,40,"admin,comments,spam,block,ban"
0,block,jsspamblock,JSSpamBlock,7464,05/12/2008 16:51,2.0.2,2.1,100,"comments,spam"
0,block,javascript-block-widget,JavaScript Block Widget,3590,24/03/2009 16:09,2.0.2,2.7.1,30,"widget,javascript"
0,block,block-diggbar,Block Diggbar,654,11/04/2009 08:31,2.7,2.7.1,0,"block,digg"
0,block,block-spam-by-math,Block-Spam-By-Math,10129,16/05/2009 10:38,2.1,2.7.1,500,"comments,comment,authentication,access,anti-spam"
0,block,flashfreeze,FlashFreeze,644,28/05/2009 02:52,"2.7.0 (may work with 2.5.x and above, but these have not been tested)",2.7.1,0,blocks flash uploader
0,block,gallery2-image-block-widget,External Gallery2 Image Block Plugin,4013,14/08/2009 02:32,2.5.1?,2.8.4,10,"widget,Gallery2,image block"
0,block,block-ie6,Block IE6,2850,06/09/2009 00:55,2.6,2.8.4,100,"block,ie6"
0,block,page-blocks,Page Blocks,16251,31/12/2009 15:23,2.3.3,2.9.2,200,"cms,widgets,pages,sidebars,templates"
0,block,super-secret,Super Secret,1108,12/04/2010 09:38,2.9,3,0,"privacy,block"
0,block,blockq,BlockQ,903,12/04/2010 17:36,2.7.0,2.9.2,0,"post,content,excerpt,blockquote"
0,block,widgetshortcodes,WidgetShortcodes,897,30/05/2010 23:59,2.7.0,2.9.2,70,blocks flash uploader
0,block,anti-adblock,Anti-AdBlock,9176,18/06/2010 07:32,2.7,2.9.2,40,"advertise,seo,monetize,donate,adblock"
0,block,cool-ryan-easy-popups,Cool Ryan Easy Popups,8739,31/07/2010 06:16,2.7,3.0.5,20,"popup,modal,Dialog,window,unblockable"
0,block,smartlines,Smartlines,1004,22/08/2010 00:36,3.01,3.01,10,"blockquote,br,the content,new lines,breaks"
0,block,wp-blocks,WP-Blocks,3544,30/08/2010 22:01,3,3.0.5,200,"content,blocks"
0,block,comment-control-by-word-recognition,Avoid unwanted comment content,1506,15/11/2010 21:31,2,3.0.5,10,"comment,content,block,avoid,unwanted"
0,block,antiscraper,AntiScraper,2051,21/11/2010 19:05,2.0.2,4.3.21,20,"spam,scraper,block scrapers"
0,block,redprunus,Red Prunus,685,10/01/2011 11:38,,,0,"facebook,flickr,firewall,scan,protect,keyword,china,picasa,a,GFW,picasaweb,unblock,ç¿»å¢™,å¢™"
0,block,wpmu-block-spam-by-math,WPMU Block Spam By Math,3363,10/01/2011 22:18,3.0.4 (maybe older),3.0.5,10,"spam,security,authentication,anti-spam,wordpress MU"
0,block,vbulletin-welcome-block-widget-for-wordpress,vBulletin Welcome Block Widget,2343,11/02/2011 15:49,2,3.0.5,10,"vbulletin,bridge"
0,block,business-block-widget,Business Block Widget,3981,12/02/2011 01:05,2.8,3.0.5,40,"widget,business,phone,address"
0,block,wp-cache-block,WP Cache Block,3156,14/02/2011 14:13,2.8,3.0.5,100,"caching,cache,performance,output caching,cache block"
0,block,optinpop-unblockable-popup-windows,OptinPop,27605,27/02/2011 12:24,3.0 or higher,3.0.5,200,"popup,pop up,popup windows,popup exit,popup entry"
0,block,plugin-update-blocker,Plugin updates blocker,3056,07/03/2011 04:00,2.9,3.1.4,100,"admin,update,tools"
0,block,extract-blockquote-info,Extract blockquote info,1047,17/03/2011 20:33,2.0.2,3.1.4,10,"quotes,citation,blockquote,cite,quotation"
0,block,tz-host-blocker,IP Host blocker,4693,03/04/2011 09:14,2.7.0,3.2.1,20,"admin,redirection,ip,access,hosts"
0,block,modius,Modius,620,07/04/2011 20:43,2.0.2,3.1.4,0,"custom,text,blocks,anywhere"
0,block,plum-code-box,Plum Code Box,3157,25/04/2011 09:00,3,3.1.4,60,"html,php,programming,coding,code block"
0,block,combat-comments-bot,Combat Comments Bot,1537,23/05/2011 16:51,2.9,3.2-beta1-17969,40,"comments,spam,block comments bot,comment protection,combat"
0,block,spam-ip-blocker,Spam IP Blocker,6472,27/06/2011 07:32,-.-.-,3.1.4,400,"comments,spam,dnsbl,blocking,spamhaus"
0,block,minecraft-block,Minecraft Block,8047,10/08/2011 18:30,3,3.2.1,100,"CSS3,blocks,fun,minecraft,decoration"
0,block,block-cache,Block Cache,697,22/08/2011 12:59,2.1,3.2.1,0,database cache
0,block,bw-twitter-blocks,BW Twitter Blocks,1984,23/08/2011 22:20,3,3.2.1,10,"post,twitter,tweet,social"
0,block,pinoy-pop-up-on-exit,Pinoy Pop Up on Exit,25413,13/09/2011 07:33,2.9.2,3.2.1,400,"popup,pop on exit,popup on exit,unblockable popup on exit,sdumanig"
0,block,random-image-block,Random Image Block,15154,19/09/2011 17:50,2.9,3.2.1,400,"widget,images,gallery,image block"
0,block,bw-custom-sidebar-blocks,BW Custom Sidebar Blocks,2037,26/10/2011 19:38,3,3.2.1,40,"post,sidebar,widgets,custom post type"
0,block,buddypress-block-activity-stream-types,BuddyPress Block Activity Stream Types,8341,11/11/2011 03:14,"PHP 5.2, WordPress 3.2.1, BuddyPress 1.5.1","PHP 5.3.x, WordPress 3.2.1, BuddyPress 1.5.1",100,"buddypress,activity,Activity Stream,block activity"
0,block,sitebrains-1,SiteBrains Interactive Spam Blocker,7376,11/11/2011 04:56,2.1,3.2.1,50,"antispam,spam,anti-spam,client side,spam blocker"
0,block,hashlink-cachelink-generator,Hashlink Cachelink Generator,1109,13/11/2011 20:31,3,3.2.1,0,"caching,google,seo,search engine optimization,anti-adblock,hash link,hash page"
0,block,wp-gallery2-image-block,Gallery2 Image Block,5923,11/12/2011 23:39,2.8,3.3.2,50,"widget,images,Gallery2,image block"
0,block,iblocks,IBlocks,1735,14/12/2011 03:27,3.0.2,3.3.2,10,"posts,pages,shortcodes,interactive components,design templates"
0,block,wp-admin-block,WP Admin Block,3068,17/12/2011 03:40,3,3.3.0,10,"admin,auth,admin block,authinication"
0,block,yd-featured-block-widget,YD Featured Box Widget,6927,23/12/2011 18:33,2.8,3.0.5,10,"widget,posts,sidebar,featured,featured posts"
0,block,vsf-simple-block,VSF Simple Block,4144,01/01/2012 12:22,3,3.3.2,30,"traffic,firewall,block,monitor,Visit"
0,block,ip-filter,IP Filter,18056,16/02/2012 14:33,3.0.0,3.3.2,1000,"block,ip,ban,filter,grant"
0,block,citekite,CiteKite,781,11/04/2012 09:17,3.0.0,3.3.2,0,"verification,validation,citation,quote,blockquote,validator,cite,quotation,citekite"
0,block,wpp-ip-blocker,IP Blocker,2489,14/04/2012 14:44,3.3.1,3.3.2,50,"block,control,ips,kontrollieren,blockieren"
0,block,no-adblock,No Adblock,5210,18/04/2012 07:16,3,3.3.2,10,"block,ad,adblock,anti"
0,block,per-page-sidebar-blocks,Per Page Sidebar Blocks,5372,23/04/2012 15:39,2.5,3.3.2,40,"sidebar,customize,specific,per page,blocks"
0,block,botblocker,BotBlocker,8934,25/04/2012 19:28,3,3.3.2,1000,"comments,captcha,spam,bot,akismet"
0,block,bbpress-ignore-user,bbPress Ignore User,2938,21/05/2012 11:41,WP 3.3 / bbP 2.1,WP 3.4 / bbP 2.1,30,"bbPress,bbpress 2.0,ignore user,block user,ignore"
0,block,authorize-by-ip,Authorize by IP,2052,06/07/2012 10:11,3,3.2.1,10,"IP-blocking,ip authorize,temporary page,301 redirect page,redirect page"
0,block,vk-block-editor,VK Block Editor,3402,19/07/2012 15:28,2.0.2,3.4.2,300,"editor,tinyMCE"
0,block,spoiler-block,Spoiler Block,9384,22/08/2012 18:43,3.2.1,3.4.2,200,"spoiler,spoilers,hidden content,block text,content spoiler"
0,block,default-theme-pages,Default Theme Pages,1544,30/08/2012 12:55,3,3.4.2,10,"pages,theme,block,templating"
0,block,wp-list-testimonials,WP List Testimonials,3234,26/09/2012 19:10,2.5,2.8,10,"links,quotes,testimonials,blogroll,blockquotes"
0,block,browser-blocker,Browser Blocker,9670,11/10/2012 03:29,3,3.4.2,300,"browser,Firefox,ie,internet explorer,chrome"
