Plugin,Description
https://wordpress.org/plugins/sb-children-block/,SB-Children-block
https://wordpress.org/plugins/jetpack/,Jetpack – WP Security
https://wordpress.org/plugins/wpforms-lite/,Contact Form by WPForms – Drag & Drop Form Builder for WordPress
https://wordpress.org/plugins/tinymce-advanced/,Advanced Editor Tools (previously TinyMCE Advanced)
https://wordpress.org/plugins/mailchimp-for-wp/,MC4WP: Mailchimp for WordPress
https://wordpress.org/plugins/wp-smushit/,Smush – Lazy Load Images
https://wordpress.org/plugins/instagram-feed/,Smash Balloon Social Photo Feed
https://wordpress.org/plugins/ninja-forms/,Ninja Forms Contact Form – The Drag and Drop Form Builder for WordPress
https://wordpress.org/plugins/redux-framework/,Redux – Gutenberg Blocks Library & Framework
https://wordpress.org/plugins/shortcodes-ultimate/,WordPress Shortcodes Plugin — Shortcodes Ultimate
https://wordpress.org/plugins/the-events-calendar/,The Events Calendar
https://wordpress.org/plugins/ml-slider/,Responsive Slider by MetaSlider – Slider and Carousel Plugin for WordPress
https://wordpress.org/plugins/nextgen-gallery/,WordPress Gallery Plugin – NextGEN Gallery
https://wordpress.org/plugins/smart-slider-3/,Smart Slider 3
https://wordpress.org/plugins/seo-by-rank-math/,Rank Math – SEO Plugin for WordPress
https://wordpress.org/plugins/amp/,AMP
https://wordpress.org/plugins/themeisle-companion/,Orbit Fox by ThemeIsle
https://wordpress.org/plugins/coblocks/,Page Builder Gutenberg Blocks – CoBlocks
https://wordpress.org/plugins/contact-widgets/,Contact Widgets
https://wordpress.org/plugins/photo-gallery/,Photo Gallery by 10Web – Mobile-Friendly Image Gallery
https://wordpress.org/plugins/formidable/,Formidable Form Builder – Contact Form
https://wordpress.org/plugins/ultimate-addons-for-gutenberg/,Gutenberg Blocks – Ultimate Addons for Gutenberg
https://wordpress.org/plugins/popup-builder/,Popup Builder – Responsive WordPress Pop up – Subscription & Newsletter
https://wordpress.org/plugins/woo-gutenberg-products-block/,WooCommerce Blocks
https://wordpress.org/plugins/caldera-forms/,Caldera Forms – More Than Contact Forms
https://wordpress.org/plugins/youtube-embed-plus/,Embed Plus for YouTube – Gallery
https://wordpress.org/plugins/foogallery/,Best Image Gallery & Responsive Photo Gallery – FooGallery
https://wordpress.org/plugins/custom-facebook-feed/,Smash Balloon Social Post Feed
https://wordpress.org/plugins/leadin/,HubSpot – CRM
https://wordpress.org/plugins/mailpoet/,MailPoet – emails and newsletters in WordPress
https://wordpress.org/plugins/olympus-google-fonts/,Fonts Plugin | Google Fonts Typography
https://wordpress.org/plugins/envira-gallery-lite/,Gallery Plugin for WordPress – Envira Photo Gallery
https://wordpress.org/plugins/wp-seopress/,SEOPress
https://wordpress.org/plugins/yikes-inc-easy-mailchimp-extender/,Easy Forms for Mailchimp
https://wordpress.org/plugins/complianz-gdpr/,Complianz – GDPR/CCPA Cookie Consent
https://wordpress.org/plugins/forminator/,Forminator – Contact Form
https://wordpress.org/plugins/give/,GiveWP – Donation Plugin and Fundraising Platform
https://wordpress.org/plugins/form-maker/,Form Maker by 10Web – Mobile-Friendly Drag & Drop Contact Form Builder
https://wordpress.org/plugins/wordpress-popup/,Hustle – Email Marketing
https://wordpress.org/plugins/kadence-blocks/,Gutenberg Blocks by Kadence Blocks – Page Builder Features
https://wordpress.org/plugins/custom-twitter-feeds/,Custom Twitter Feeds (Tweets Widget)
https://wordpress.org/plugins/otter-blocks/,Gutenberg Blocks and Template Library by Otter
https://wordpress.org/plugins/soliloquy-lite/,Slider by Soliloquy – Responsive Image Slider for WordPress
https://wordpress.org/plugins/layout-grid/,Layout Grid Block
https://wordpress.org/plugins/wd-instagram-feed/,10Web Social Photo Feed
https://wordpress.org/plugins/booking/,Booking Calendar
https://wordpress.org/plugins/luckywp-table-of-contents/,LuckyWP Table of Contents
https://wordpress.org/plugins/calculated-fields-form/,Calculated Fields Form
https://wordpress.org/plugins/metronet-profile-picture/,User Profile Picture
https://wordpress.org/plugins/atomic-blocks/,Atomic Blocks – Gutenberg Blocks Collection
https://wordpress.org/plugins/advanced-responsive-video-embedder/,ARVE Advanced Responsive Video Embedder (YouTube
https://wordpress.org/plugins/slider-wd/,Slider by 10Web – Responsive Image Slider
https://wordpress.org/plugins/robo-gallery/,Image Gallery by Robo – Responsive Photo Gallery
