Elapsed,vanilla,akismet,cf7,ai1seo,wpseo,jetpack,xml,nextgen,importer,woocommerce,analytics
0.5,9.38,7.58,5.36,6.24,5.71,5.43,8.06,0.82,9.31,4.11,6.23
0.6,18.23,18.72,12.05,12.92,6.68,7.96,18.97,3.97,19.81,5.07,15.21
0.7,28.35,29.49,20.76,22.64,15.13,15.76,30.40,5.16,30.82,6.10,23.29
0.8,45.39,46.51,34.08,36.23,22.40,26.25,47.18,7.11,47.15,8.16,40.21
0.9,61.38,60.92,50.52,51.82,36.87,39.78,61.61,13.92,59.72,19.99,55.49
1,73.96,72.14,61.90,65.70,53.19,53.09,73.48,23.28,71.69,27.92,67.80
1.1,81.55,79.27,72.62,74.46,64.47,66.69,80.81,36.08,78.34,46.00,78.26
1.2,86.38,84.47,79.61,81.51,74.48,75.24,85.05,49.63,83.00,59.15,83.61
1.3,88.84,88.34,83.63,86.19,81.45,82.68,87.62,61.23,86.03,71.12,87.24
1.4,90.63,90.56,86.53,88.72,85.24,86.25,90.04,70.06,88.91,79.79,89.61
1.5,92.71,92.64,89.51,91.02,88.06,89.29,92.16,76.20,91.13,83.98,91.77
1.6,94.35,94.58,91.96,93.69,91.39,91.23,93.77,80.76,92.98,87.44,94.21
1.7,95.61,95.62,93.60,94.80,93.32,93.53,95.09,84.06,94.46,89.71,95.40
1.8,96.35,96.43,94.72,95.84,94.88,95.02,96.12,86.83,95.27,92.36,96.29
1.9,96.73,97.03,95.54,96.36,95.85,95.69,96.48,89.82,95.71,94.12,96.81
2,97.25,97.33,95.91,97.10,96.29,96.73,96.78,91.69,95.86,95.66,97.11
