Elapsed,vanilla,jp382-5,minus10
0.2,13,0,70
0.3,83,70,33
0.4,6,28,0
0.5,0,10,0
0.6,2,5,7
0.7,14,0,29
0.8,57,0,51
0.9,56,16,116
1.0,119,41,119
1.1,130,51,144
1.2,113,64,91
1.3,66,156,36
1.4,58,117,38
1.5,30,87,24
1.6,17,52,16
1.7,12,40,7
1.8,9,30,11
1.9,7,14,12
2.0,7,13,6
2.1,11,7,3
2.2,4,6,5
2.3,1,6,3
2.4,8,5,4
2.5,1,7,2
2.6,2,5,1
2.7,1,3,0
2.8,0,1,1
2.9,2,0,0
3.0,1,2,7
3.1,2,2,2
3.2,2,2,2
3.3,4,0,1
3.4,1,2,0
3.5,1,3,2
3.6,0,5,2
3.7,2,0,2
3.8,2,0,0
3.9,0,4,0
4.0,1,2,0
4.4,0,0,1
4.7,1,0,0
4.8,1,0,0
5.5,0,1,0
5.6,2,0,0
5.9,0,3,0
6.0,1,0,0
