Elapsed,vanilla,minus10,nofooter
0.2,13,70,60
0.3,83,33,42
0.4,6,0,9
0.5,0,0,18
0.6,2,7,51
0.7,14,29,123
0.8,57,51,91
0.9,56,116,174
1.0,119,119,86
1.1,130,144,39
1.2,113,91,44
1.3,66,36,23
1.4,58,38,14
1.5,30,24,10
1.6,17,16,10
1.7,12,7,7
1.8,9,11,5
1.9,7,12,7
2.0,7,6,2
2.1,11,3,4
2.2,4,5,5
2.3,1,3,2
2.4,8,4,2
2.5,1,2,0
2.6,2,1,0
2.7,1,0,3
2.8,0,1,3
2.9,2,0,3
3.0,1,7,0
3.1,2,2,2
3.2,2,2,1
3.3,4,1,0
3.4,1,0,2
3.5,1,2,2
3.6,0,2,0
3.7,2,2,0
3.8,2,0,0
4.0,1,0,1
4.4,0,1,0
4.5,0,0,1
4.7,1,0,0
4.8,1,0,0
5.4,0,0,3
5.6,2,0,0
6.0,1,0,0
