Accum,vanilla,vanilla-34,vanilla-34-kd,vanilla-34-kd-2,vanilla-35-owc
0.13,0.18808777429467,0,0,0,0
0.14,1.3166144200627,0,0,0,0
0.15,2.5705329153605,0,0,0,0
0.16,3.2601880877743,0,0,0,0
0.17,3.5109717868339,0,0,0,0
0.18,3.7617554858934,0.24509803921569,0.24509803921569,0.24479804161567,0.12247397428047
0.19,4.5141065830721,1.2867647058824,1.7156862745098,1.3463892288862,1.7146356399265
0.20,4.7021943573668,3.0637254901961,3.6151960784314,3.4883720930233,3.7354562155542
0.21,4.8275862068966,3.3088235294118,3.7990196078431,3.8555691554468,3.7354562155542
0.22,4.9529780564263,3.3700980392157,3.7990196078431,3.9779681762546,3.7966932026944
0.23,5.0156739811912,3.6764705882353,3.9828431372549,4.1615667074663,3.8579301898347
0.24,5.0783699059561,3.6764705882353,3.9828431372549,4.2839657282742,3.9804041641151
0.25,5.0783699059561,3.6764705882353,4.1053921568627,4.2839657282742,3.9804041641151
0.26,5.141065830721,3.7990196078431,4.1666666666667,4.2839657282742,4.1641151255358
0.27,5.141065830721,4.4117647058824,4.5343137254902,4.4675642594859,4.470300061237
0.28,5.8307210031348,4.8406862745098,4.718137254902,4.8347613219094,4.8377219840784
0.29,6.269592476489,5.0857843137255,5.0245098039216,5.3855569155447,5.6338028169014
0.30,7.0219435736677,5.0857843137255,5.3921568627451,5.7527539779682,5.7562767911819
0.31,9.5924764890282,5.6372549019608,6.0661764705882,6.3035495716034,6.1236987140233
0.32,12.351097178683,6.25,6.3725490196078,6.7319461444308,6.6748315982854
0.33,13.981191222571,6.6789215686275,6.8014705882353,6.7931456548348,6.7360685854256
0.34,14.858934169279,6.8014705882353,6.8627450980392,6.9767441860465,6.9810165339865
0.35,15.924764890282,6.8014705882353,6.9240196078431,7.0991432068543,7.0422535211268
0.36,17.680250783699,6.8014705882353,6.9240196078431,7.2215422276622,8.4507042253521
0.37,18.432601880878,6.8014705882353,7.1691176470588,7.2827417380661,9.0630740967544
0.38,19.310344827586,6.8014705882353,7.1691176470588,7.2827417380661,9.7979179424372
0.39,19.937304075235,6.9240196078431,7.2303921568627,7.2827417380661,12.676056338028
0.40,21.191222570533,7.2303921568627,7.2303921568627,7.2827417380661,16.595223515003
0.41,22.633228840125,7.2916666666667,7.2303921568627,7.34394124847,18.003674219228
0.42,24.764890282132,7.3529411764706,7.4142156862745,7.4051407588739,19.350887936314
0.43,27.335423197492,7.781862745098,8.1495098039216,7.8335373317013,20.208205756277
0.44,29.905956112853,8.8848039215686,9.0073529411765,9.0575275397797,21.06552357624
0.45,33.040752351097,9.1911764705882,9.2524509803922,9.4247246022032,22.596448254746
0.46,35.611285266458,9.9264705882353,10.294117647059,10.526315789474,25.535823637477
0.47,37.868338557994,13.602941176471,13.970588235294,13.28029375765,29.454990814452
0.48,40,16.237745098039,16.666666666667,15.483476132191,34.905082669933
0.49,41.880877742947,17.524509803922,18.014705882353,16.829865361077,39.252908756889
0.50,43.636363636364,18.566176470588,18.933823529412,17.931456548348,41.702388242498
0.51,45.76802507837,19.362745098039,19.791666666667,19.094247246022,44.886711573791
0.52,48.401253918495,20.649509803922,21.017156862745,20.134638922889,48.377219840784
0.53,50.407523510972,22.487745098039,22.549019607843,22.154222766218,51.684017146356
0.54,52.476489028213,25.122549019608,25.245098039216,24.724602203182,54.929577464789
0.55,54.420062695925,28.982843137255,29.84068627451,27.784577723378,58.175137783221
0.56,57.617554858934,34.313725490196,34.129901960784,30.78335373317,60.257195345989
0.57,59.435736677116,37.316176470588,36.764705882353,33.720930232558,62.951622780159
0.58,60.940438871473,39.522058823529,39.889705882353,36.41370869033,65.217391304348
