Plugin,Total
wordpress-seo,200272421
jetpack,145461101
akismet,143399819
wordfence,135880804
contact-form-7,121016336
woocommerce,77379958
all-in-one-seo-pack,61978285
google-analytics-for-wordpress,55601014
elementor,36681606
wpforms-lite,31625937
wp-super-cache,30868012
updraftplus,29929549
wordpress-importer,28038275
nextgen-gallery,27637696
siteorigin-panels,25798311
google-sitemap-generator,25549476
optinmonster,25301688
all-in-one-wp-migration,24883036
google-analytics-dashboard-for-wp,22969105
tinymce-advanced,22370833
mailchimp-for-wp,21909894
redirection,19811922
ninja-forms,19750891
the-events-calendar,19138430
really-simple-ssl,19118924
better-wp-security,18091369
duplicator,17723842
wp-smushit,17456616
w3-total-cache,17220021
so-widgets-bundle,16521527
ewww-image-optimizer,14757788
classic-editor,13961912
advanced-custom-fields,13518366
wptouch,12821904
wp-fastest-cache,12744595
gutenberg,12108203
regenerate-thumbnails,11969811
wp-google-maps,11657461
wp-optimize,11594930
duplicate-post,11419528
add-to-any,11268656
ml-slider,11255075
photo-gallery,10496360
newsletter,9602021
all-in-one-wp-security-and-firewall,9562745
wp-pagenavi,9522081
black-studio-tinymce-widget,9263564
wysija-newsletters,9209376
sg-cachepress,9131735
backwpup,9096985
wp-mail-smtp,9090151
user-role-editor,9037459
wp-statistics,8963335
woocommerce-gateway-paypal-express-checkout,8951293
worker,8841938
instagram-feed,8439762
autoptimize,8123277
buddypress,8086489
yith-woocommerce-wishlist,7840518
shortcodes-ultimate,7810292
coming-soon,7779531
breadcrumb-navxt,7662734
disable-comments,7213856
woocommerce-gateway-stripe,7166750
really-simple-captcha,6962495
wp-simple-firewall,6933047
broken-link-checker,6918240
polylang,6756434
litespeed-cache,6752370
mainwp-child,6586760
loco-translate,6471290
formidable,6432349
accelerated-mobile-pages,6323755
social-networks-auto-poster-facebook-twitter-g,6169167
wp-maintenance-mode,6126310
woocommerce-services,5809707
meta-box,5708824
redux-framework,5650478
bbpress,5617534
ultimate-social-media-icons,5441389
sucuri-scanner,5233847
duplicate-page,5151099
google-analyticator,5121674
ad-inserter,5118839
cookie-notice,5039780
wp-slimstat,4998482
custom-post-type-ui,4936406
hello-dolly,4843348
addthis,4842373
tablepress,4754262
contact-form-plugin,4669954
beaver-builder-lite-version,4660022
yet-another-related-posts-plugin,4605781
cookie-law-info,4439702
loginizer,4416085
themeisle-companion,4286037
popup-maker,4131674
backupwordpress,4120165
gtranslate,4110291
post-types-order,4101006
wp-multibyte-patch,4050044
googleanalytics,4028336
youtube-embed-plus,4024572
mailchimp-for-woocommerce,4019726
iwp-client,4009968
shareaholic,3983131
image-widget,3948932
maintenance,3917963
amp,3845957
one-click-demo-import,3817409
ocean-extra,3815317
smart-slider-3,3712960
custom-sidebars,3710127
wp-file-manager,3708143
disqus-comment-system,3625634
wps-hide-login,3618243
wp-user-avatar,3573225
email-subscribers,3556819
wp-e-commerce,3549673
pirate-forms,3523868
wordpress-popular-posts,3511261
megamenu,3424526
wp-to-twitter,3412679
download-manager,3406252
pretty-link,3401865
easy-fancybox,3366924
cleantalk-spam-protect,3304540
wp-mail-bank,3298140
enable-media-replace,3288614
contact-form-7-mailchimp-extension,3288395
wp-db-backup,3269206
mailpoet,3244587
woo-gutenberg-products-block,3230555
wp-antivirus-site-protection,3229198
custom-facebook-feed,3228061
yith-woocommerce-compare,3203913
gallery-bank,3185191
better-search-replace,3167754
wp-retina-2x,3148990
bulletproof-security,3148164
kirki,3145623
under-construction-page,3129472
page-links-to,3127557
easy-wp-smtp,3102555
responsive-lightbox,3068994
form-maker,3054162
all-in-one-event-calendar,3052455
widget-importer-exporter,3031228
wp-polls,3024764
gotmls,3020854
theme-my-login,3013424
antispam-bee,3003796
insert-headers-and-footers,2993022
woocommerce-pdf-invoices-packing-slips,2969608
squirrly-seo,2956341
ultimate-member,2942271
imagify,2908507
shortpixel-image-optimiser,2901270
premium-addons-for-elementor,2865439
simple-share-buttons-adder,2855456
ultimate-tinymce,2809388
relevanssi,2800062
easy-digital-downloads,2791512
child-theme-configurator,2762215
advanced-ads,2725711
woocommerce-admin,2722340
events-manager,2655491
essential-addons-for-elementor-lite,2641501
wp-postviews,2633637
maxbuttons,2616119
admin-menu-editor,2590177
rvg-optimize-database,2560583
popup-builder,2548492
stops-core-theme-and-plugin-updates,2547664
list-category-posts,2543888
contact-bank,2529089
force-regenerate-thumbnails,2526083
google-captcha,2513867
wp-job-manager,2495111
wp-photo-album-plus,2477148
adrotate,2459579
widget-logic,2457307
taxonomy-terms-order,2451821
advanced-access-manager,2436178
wpsso,2414307
easy-google-fonts,2385379
wp-migrate-db,2373624
caldera-forms,2357026
wp-dbmanager,2354138
limit-login-attempts-reloaded,2344615
seo-ultimate,2295531
sociable,2259329
velvet-blues-update-urls,2200525
flamingo,2178140
search-and-replace,2158302
