URI,Hits,Average response
plugins,31792,0.39448097392426
apis,22232,0.5793117547679
wordpress-plugins-from-oik-plugins,40360,0.51187080307235
robots.txt,13151,0.36381664390541
oik_api,158828,0.51616163029189
oik-shortcodes,36466,0.87561821699665
oik-plugins,54801,0.80479663143008
oik_shortcodes,21434,0.47894255024727
feed,6923,0.54930933107035
,23349,0.54124051325539
oik_sc_param,43051,0.43476531973705
oik_hook,20134,0.42767964994537
oik_pluginversion,18370,0.45568609363092
wp-login.php,25346,0.39748282525842
shortcode_example,14543,0.51295918655023
oik_file,18674,0.49937948837957
wp-admin,11582,0.72699490632015
wp-content,7653,0.53771995322096

