Elapsed,W/O,OPcache
0.3,,51
0.4,,38
0.5,,9
0.6,,2
0.7,,4
0.8,,8
0.9,,21
1.0,67,28
1.1,25,67
1.2,6,84
1.3,5,91
1.4,1,125
1.5,,75
1.6,12,41
1.7,12,30
1.8,41,26
1.9,30,26
11.0,,2
11.6,2,
11.9,1,
2.0,87,19
2.1,88,8
2.2,65,11
2.3,140,6
2.4,52,8
2.5,44,14
2.6,34,2
2.7,23,2
2.8,23,5
2.9,11,3
3.0,7,3
3.1,5,1
3.2,5,
3.3,4,2
3.4,4,3
3.5,4,3
3.6,4,4
3.7,3,5
3.8,3,3
3.9,,2
4.0,3,
4.1,6,3
4.2,,1
4.3,5,3
4.4,2,1
4.5,5,2
4.6,5,
4.7,1,
4.8,4,
5.1,,3
5.3,1,1
5.4,1,
5.5,1,1
5.6,2,2
6.1,,1
6.2,,1
6.4,1,
6.5,2,
6.7,1,
7.1,1,
7.3,1,
7.5,1,
13.7,,1
