Elapsed,vanilla,vanilla02,vanilla03,vanilla-essence,vanilla7,vanilla71,vanilla72,vanilla43,vanilla431,vanilla432,vanilla433,vanilla434,vanilla435,vanilla436,vanilla76,vanilla4361
0.1,0,0,0,0,13,15,27,0,0,0,0,0,0,0,5,33
0.2,29,0,0,29,52,55,37,0,0,0,0,0,0,0,60,38
0.3,44,63,65,172,109,131,122,0,0,0,0,0,0,0,83,144
0.4,13,9,7,29,195,227,222,0,0,0,0,0,0,0,196,292
0.5,40,22,12,74,361,346,343,5,0,0,0,0,0,0,345,342
0.6,119,127,143,389,196,197,179,49,52,23,52,47,51,59,233,121
0.7,136,117,119,372,125,114,113,50,19,28,14,8,10,22,126,138
0.8,229,202,218,649,100,73,53,320,251,142,240,205,217,178,82,60
0.9,215,188,209,612,34,38,38,398,479,354,454,443,472,286,38,29
1.0,169,175,166,510,31,24,27,156,197,225,195,250,234,289,33,20
1.1,102,104,112,318,25,30,30,134,109,173,151,98,97,155,22,20
1.2,65,88,74,227,23,20,32,61,92,124,98,112,109,87,24,18
1.3,33,58,58,149,17,17,27,37,30,67,37,31,34,45,17,23
1.4,24,48,25,97,15,12,22,23,19,50,26,25,18,31,20,11
1.5,28,36,30,94,9,7,7,15,15,27,14,13,17,25,12,8
1.6,22,25,32,79,6,5,7,19,21,22,22,22,17,18,8,3
1.7,17,15,10,42,0,1,4,11,11,22,9,14,9,25,2,7
1.8,10,12,15,37,2,3,2,14,13,18,10,18,16,20,6,5
1.9,5,10,8,23,2,1,7,9,4,9,8,8,8,15,2,2
2.0,7,4,3,14,0,1,3,2,5,7,5,7,2,11,4,7
2.1,2,3,7,12,4,5,6,4,5,11,5,4,3,7,3,3
2.2,6,5,1,12,3,4,3,3,1,4,4,8,5,8,2,4
2.3,2,3,3,8,5,3,4,7,2,4,5,3,6,7,1,4
2.4,0,3,2,5,4,2,2,3,2,6,7,6,5,10,6,3
2.5,2,1,0,3,4,5,6,0,0,6,1,6,0,8,5,4
2.6+,25,30,30,85,16,12,25,22,17,35,18,17,14,44,16,14
>>>,17,3,2,22,2,2,3,2,0,6,1,0,0,4,2,2
