Elapsed,vanilla,vanilla02,vanilla03,vanilla-essence,vanilla7,vanilla71
0.1,0,0,0,0,0.962250185,1.1127596439
0.2,2.1577380952,0,0,0.7176441475,4.8112509252,5.1928783383
0.3,5.431547619,4.6735905045,4.8183839881,4.9740163326,12.8793486306,14.9109792285
0.4,6.3988095238,5.3412462908,5.3372868792,5.6916604801,27.3131014064,31.7507418398
0.5,9.375,6.9732937685,6.2268346924,7.5228903737,54.0340488527,57.4183976261
0.6,18.2291666667,16.3946587537,16.8272794663,17.14922049,68.5418208734,72.0326409496
0.7,28.3482142857,25.0741839763,25.6486286138,26.3548626578,77.7942264989,80.4896142433
0.8,45.3869047619,40.059347181,41.8087472202,42.4152437515,85.1961509993,85.9050445104
0.9,61.3839285714,54.0059347181,57.3017049666,57.5600098985,87.7128053294,88.7240356083
1,73.9583333333,66.9881305638,69.6071163825,70.1806483544,90.0074019245,90.5044510386
1.1,81.5476190476,74.703264095,77.909562639,78.0499876268,91.8578830496,92.7299703264
1.2,86.3839285714,81.2314540059,83.395107487,83.6674090572,93.5603256847,94.2136498516
1.3,88.8392857143,85.5341246291,87.6945885841,87.3546151943,94.8186528497,95.4747774481
1.4,90.625,89.0949554896,89.547813195,89.7550111359,95.9289415248,96.3649851632
1.5,92.7083333333,91.765578635,91.7716827279,92.0811680277,96.5951147298,96.884272997
1.6,94.3452380952,93.6201780415,94.1438102298,94.0361296709,97.0392301999,97.2551928783
1.7,95.6101190476,94.7329376855,94.8851000741,95.0754763672,97.0392301999,97.3293768546
1.8,96.3541666667,95.6231454006,95.9970348406,95.991091314,97.1872686899,97.5519287834
1.9,96.7261904762,96.3649851632,96.5900667161,96.560257362,97.3353071799,97.6261127596
2,97.2470238095,96.6617210682,96.8124536694,96.9067062608,97.3353071799,97.7002967359
2.1,97.3958333333,96.884272997,97.3313565604,97.2036624598,97.6313841599,98.0712166172
2.2,97.8422619048,97.2551928783,97.4054855448,97.5006186587,97.8534418949,98.3679525223
2.3,97.9910714286,97.4777448071,97.6278724981,97.6985894581,98.2235381199,98.590504451
2.4,97.9910714286,97.7002967359,97.776130467,97.8223212076,98.5196150999,98.7388724036
2.5,98.1398809524,97.7744807122,97.776130467,97.8965602574,98.8156920799,99.1097922849
2.6,100,100,100,100,100,100
