Slug,Name,Rating,Downloaded,Tested
ace-twilio-for-woocommerce,Ace Twilio For Woocommerce,0,139,5.0.7
hamelp,Hamelp,0,266,5.2.4
hearty-image-hover-light,Hearty Image Hover Light,0,242,5.1.3
recent-shots-widget,Recent Shots Widget,0,227,4.8.11
blogsend-io,Blogsend.io,0,99,
block-layouts,Block Layouts,100,90,5.2.4
hearty-social-light,Hearty Social Light,0,241,5.1.3
shift8-security,Shift8 Security,0,117,5.2.4
wp-church-center-rss-syndication,WP Church Center: RSS,0,301,4.9.12
orderforms-stripe,OrderForms.com Stripe Manager,100,312,5.2.4
wp-smart-seo,WP Smart SEO,0,122,5.2.4
additional-js,Additional JS,0,150,5.2.4
kodmi-age-validator,KodMi Age Validator,0,521,5.1.3
wp-accordions,WP Accordions,0,252,5.2.4
negotiabl-woocommerce-extension,Negotiabl for WooCommerce,0,259,4.9.4, WooCommerce 3.3.0
swp-contact-form-7-analytics,Contact Form 7 Analytics,0,225,4.8.11
demoondemand,DemoOnDemand,0,185,4.9.12
image-flip-for-woocommerce,Image Flip for WooCommerce,0,101,5.2.4
lh-seo-meta-tags,LH SEO Meta Tags,0,208,5.0.7
cf7-multi-upload-file,CF7 Multi Upload File,0,102,5.2.4
3q-video-connect,3Q Video Connect,0,407,5.0.7
notifyvisitors-lead-form,Free WordPress Lead Generation Opt in Free Popups Generated Lead Email Popup Exit-Intent Popup – NotifyVisitors,0,118,5.2.4
import-youtube-by-northwoods-digital,Import YouTube by Northwoods Digital,0,338,5.0.7
wp-theme-scripts,WP Theme Scripts,0,64,5.2.4
code-syntax-highlighter,Code Syntax Highlighter,0,235,4.9.12
odk-call-action,ODK Call Action,100,156,
ap-gist-api-code-insert,Gist API Code insert,0,144,5.0.7
previewer-role,Previewer Role,0,61,
aweos-mobile-cta,AWEOS Mobile CTA,0,116,5.2.4
add-contributors,Add Contributors,0,101,5.2.4
sif,Sif,0,659,5.0.7
logo-or-image-replace,Logo or Image Replace by mycore.global,0,188,5.3
calendar-to-events,Calendar-To-Events,0,110,5.2.4
easy-lightbox-2-automated,Easy Lightbox 2 Automated,0,91,5.2.4
short-links-and-traffic,Short Links and Traffic,0,209,4.9.12
ultimate-search-and-replace,Ultimate Search and Replace,0,189,5.2.0
taxonomy-pages,Taxonomy Pages,0,55,5.2.4
ikorektor,iKorektor,0,152,5.0.7
portfolio-perfect,perfectPortfolioHelper,0,115,4.9.12
wl-opening-hours,WL Opening Hours,0,85,5.3.0
footer-widget-bundle,Footer widget bundle,0,79,5.2.4
rudimentary-information,Rudimentary Information,0,659,4.9.12
post-filtration,Post Filtration,0,53,5.2.4
my-sites-sort-and-filter,My Sites Sort and Filter,100,310,5.0.7
rcp-allow-rest,RCP allow REST,100,294,4.9.12
fazbuzz,Fazbuzz,0,221,4.9.12
wp-leads-form,WP Leads Form,0,49,5.2.4
k7-church,K7 Church,0,404,5.2.4
tw-user-link,Tw User Link,0,262,4.9.12
sku-search,SKU Search,0,64,5.2.4
wp-rest-api-security,WP REST API Security,60,146,5.1.3
disable-adjacent-rel-links,Disable adjacent rel links,100,111,4.9.12
the-taste-of-ink,The Taste of Ink,100,153,4.9.12
wc-ultimate-cross-selling,WC Ultimate Cross Selling,0,34,5.2.4
nepalify,Nepalify,0,122,5.2.4
chroma-google-analytics,Chroma Google Analytics,0,342,4.8.11
cpt-magic-tool-addons-for-elementor,Elementor CPT Magic Tool,0,57,5.2.4
login-on-checkout-for-easy-digital-downloads,Login On Checkout for Easy Digital Downloads,0,33,5.2.4
responsive-fashion-slider,Responsive Fashion Slider,0,282,4.9.12
dfa-faq,DFA FAQ,100,254,4.8.11
hivepress-favorites,HivePress Favorites,0,364,5.2.4
elearnify-widget,Elearnify Widget,0,22,5.2.4
wphobby-pdf-invoices-for-woocommerce,WPHobby PDF Invoices for WooCommerce,0,31,5.2.4
halloween-woocommerce,Haloween Woocommerce,0,352,4.8.11
linkgreen-product-import,LinkGreen Product Import,0,85,5.2.4
svg-featured-image,SVG Featured Image,100,22,5.2.4
optimus-price,Optimus Price,0,182,4.9.12
yonox-contact-form-7-db,Yonox CF7 DB,0,27,5.2.4
content-author-accessibility-preview,Content Author Accessibility Preview,0,164,5.2.4
dnotes-pay-payment-gateway-for-woocommerce,DNotes Pay Payment Gateway for WooCommerce,0,128,4.9.12
pdf-catalog-woocommerce,PDF Catalog Woocommerce,100,64,5.1.3
color-system-visualizer,Color System Visualizer,0,209,5.2.4
wp-auto-update-plugins,WP Auto Update Plugins,0,255,4.9.12
ibl-woocommerce-wishlist,IBL WooCommerce Wishlist Plugin,0,80,4.9.12
analytics-buddy,Analytics Buddy,0,258,4.9.12
styling-default-post-flipbox,Styling Default Post Like Flipbox,0,25,5.2.4
lh-scoped-styles,LH Scoped Styles,0,86,5.1.3
transfer-wp-admin-php,Transfer WP-ADMIN.php,0,21,5.2.4
woo-konto-checkout,WooCommerce Konto Checkout plugin,0,504,4.9.12
simple-nested-menu,Simple Nested Menu,0,182,4.9.x
recent-posts-by-nn,NN Recent Posts,100,169,4.9.12
easy-custom-code,Easy Custom Code (LESS/CSS/JS) &#8211; Live editing,100,46,5.2.4
push-monkey-light-woocommerce,Push Monkey Light and Abandoned Cart for WooCommerce,0,291,4.9.12
sandyhutextensions,Plugin Name: SandyhutExtensions,0,126,5.2.0
light-bakso,Light Bakso,100,166,4.9.12
member-authorisation-for-sheep-crm,Member authorisation for Sheep CRM,0,218,5.2.4
meteoart,Meteo,0,41,5.2.4
wp-my-favourites,WP My Favourites,100,316,4.8.11
dynamic-svg-icons,Dynamic SVG Icons,100,102,5.1.3
icon-widget-with-links,Icon Widget,0,107,4.9.12
juiz-lang-attributes,Juiz Lang Attribute,0,182,5.1.3
control-panel-for-soundcloud,Control panel for SoundCloud（SoundCloud再生パネル）,0,195,4.9.12
woptifications,Woptifications,0,286,4.8.11
report-for-woocommerce,Report For WooCommerce,0,224,4.7.15
sb-latest-posts,SB Latest Posts,100,123,4.9.12
easy-location-map,Easy Location Map,0,161,4.9.12
woo-gateway-mc2p,WooCommerce MyChoice2Pay Payment Gateway,0,414,
additional-script,Additional Script,0,276,5.2.4
newsgram,Newsgram,0,330,4.7.15
hello-leslie,Hello Leslie,0,127,4.9.12
awesome-slider-block,Awesome Slider Block,0,158,5.1.3
smntcs-admin-maintenance,SMNTCS Admin Maintenance,0,564,5.3
swe-product-360-degree-view,SWE Product 360 Degree View,0,95,5.1.3
wp-dideo,Dideo,0,122,4.9.12
top-rank-content-checker,Top Rank Content Checker,0,77,5.2.4
featured-background-image-free,Featured Background Image &#8211; Free,0,82,5.2.4
easy-dexter-lightbox,Easy Dexter Lightbox,0,217,4.9.12
wp-flexkids,WP Flexkids,0,88,5.2.4
p3x-actualite-web,p3x actualité web,100,130,5.0.7
easy-business-directory,Easy Business Directory plugin,0,727,5.2.4
teoola,!teoola,0,94,5.2.4
